date,Consumption (KL),level (m),temp,rain,evpt,radiation,day_light
01-01-2023,102,9.2325,21.9,0.01,2.53,12.36,39054.18
01-02-2023,108,9.37075,20.7,0,2.47,12.29,39073.2
01-03-2023,82,9.5455,20.7,0,3.03,14.6,39093.97
01-04-2023,123,9.50625,19.4,0,3.2,15.07,39116.46
01-05-2023,121,9.55625,19.3,0,3.35,14.79,39140.61
01-06-2023,74,9.6,18.3,0,4.34,16.07,39166.38
01-07-2023,126,9.19025,17.7,0,4.03,16.05,39193.73
01-08-2023,128,8.8175,17.7,0,3.91,15.96,39222.59
01-09-2023,121,8.815,18.6,0,3.55,15.86,39252.93
01-10-2023,126,8.83,19.3,0,3.49,15.91,39284.7
01-11-2023,128,8.8925,18.8,0,3.29,16.02,39317.84
01-12-2023,138,9.0525,19.1,0,3.13,15.99,39352.32
01/13/2023,136,9.04,21.6,0,3.16,15.64,39388.09
01/14/2023,139,9.09,22.5,0,3.28,15.75,39425.1
01/15/2023,139,9.13,22.2,0,3.23,14.73,39463.3
01/16/2023,133,9.2075,20.7,0,3.07,14.96,39502.64
01/17/2023,135,9.25,20.3,0,2.53,13.08,39543.08
01/18/2023,132,9.325,20.9,0,1.94,9.77,39584.6
01/19/2023,138,9.55,20.8,0,2.44,11.46,39627.63
01/20/2023,87,9.595,19.9,0,3.07,16.15,39672.28
01/21/2023,126,9.5975,20.7,0,3.27,16.48,39718.46
01/22/2023,134,9.7125,21.5,0,3.35,16.5,39766.11
01/23/2023,136,9.83,22.9,0,3.45,16.68,39815.14
01/24/2023,134,9.83,22.8,0,3.71,16.85,39865.47
01/25/2023,131,9.975,22.9,0,3.73,16.83,39917.04
01/26/2023,0,10.11,23.6,0,3.74,16.99,39969.77
01/27/2023,125,10.2075,23.4,0,3.8,16.74,40023.57
01/28/2023,122,10.2425,23.4,0,3.72,16.38,40078.39
01/29/2023,128,10.2975,21.9,0,3.77,17.49,40134.14
01/30/2023,125,10.4325,21,0,3.73,18.04,40190.76
01/31/2023,128,10.385,22.3,0,3.66,14.94,40248.18
02-01-2023,136,10.3825,22.3,0,2.88,9.33,40306.32
02-02-2023,134,10.5375,20.8,0,4.74,18.46,40365.12
02-03-2023,137,10.665,20,0,4.22,18.8,40424.51
02-04-2023,133,10.64,20,0,3.95,18.8,40484.43
02-05-2023,136,10.8275,20.3,0,4.1,18.7,40544.81
02-06-2023,41,10.96,21.5,0,3.93,18.62,40605.59
02-07-2023,0,10.955,22.2,0,3.99,18.83,40666.73
02-08-2023,89,11.0275,23.5,0,4.05,18.55,40728.79
02-09-2023,119,11.1125,23.4,0,4.48,18.84,40791.9
02-10-2023,118,11.2425,22.9,0,4.23,19.01,40856.02
02-11-2023,115,11.2925,25,0,4.36,19.3,40921.06
02-12-2023,113,11.35,24.9,0,5.3,19.43,40986.95
02/13/2023,110,11.45,22.4,0,5,20.24,41053.61
02/14/2023,114,11.5075,20.7,0,4.61,20.05,41120.98
02/15/2023,123,11.5475,21,0,4.25,19.97,41189
02/16/2023,132,11.6675,22.2,0,3.43,16.96,41257.59
02/17/2023,129,11.7325,22.7,0.73,3.01,14.89,41326.68
02/18/2023,136,11.79,23.7,0.58,3.34,15.78,41396.22
02/19/2023,132,11.8225,24.4,0,3.69,16.62,41466.13
02/20/2023,128,11.84,25.4,0,4.19,18.09,41536.36
02/21/2023,130,11.9525,24.9,0,4.31,20.22,41606.83
02/22/2023,132,11.975,26.5,0,5.3,20.53,41677.49
02/23/2023,134,12.0725,25.9,0,4.61,20.48,41748.28
02/24/2023,133,12.1375,25.7,0,4.36,19.81,41819.13
02/25/2023,127,12.1525,25.3,0,4.24,18.84,41889.99
02/26/2023,130,12.3,25.2,0,4.06,18.06,41960.79
02/27/2023,134,12.4175,25.9,0,4.28,18.69,42031.5
02/28/2023,133,12.505,25.7,0,5.06,20.93,42102.67
03-01-2023,133,12.505,25.5,0,4.86,20.18,42174.45
03-02-2023,135,12.5625,26.2,0,4.87,20.49,42246.78
03-03-2023,136,12.505,26.5,0,5.57,21.31,42319.61
